1.71,-0.95
1.76,-0.92
1.81,-0.90
1.87,-0.86
1.91,-0.84
1.96,-0.81
2.01,-0.79
2.06,-0.76
2.11,-0.73
2.16,-0.70
2.21,-0.68
2.26,-0.65
2.32,-0.62
2.37,-0.60
2.42,-0.57
2.47,-0.55
2.52,-0.52
2.57,-0.49
2.62,-0.47
2.67,-0.44
2.72,-0.42
2.78,-0.39
2.83,-0.36
2.88,-0.34
2.93,-0.31
2.98,-0.29
3.03,-0.26
3.08,-0.24
3.14,-0.21
3.19,-0.19
3.24,-0.16
3.29,-0.14
3.34,-0.11
3.39,-0.09
3.45,-0.06
3.50,-0.04
3.55,-0.01
3.59,0.02
3.64,0.06
3.69,0.09
3.73,0.13
3.78,0.16
3.82,0.20
3.87,0.25
3.90,0.29
3.94,0.34
3.97,0.39
4.00,0.43
4.03,0.48
4.06,0.53
4.09,0.58
4.12,0.62
4.15,0.67
4.18,0.71
4.21,0.76
4.25,0.81
4.28,0.85
4.31,0.90
4.34,0.95
4.37,0.99
4.40,1.04
4.43,1.09
4.46,1.14
4.49,1.18
4.52,1.23
4.55,1.28
4.58,1.33
4.59,1.38
4.61,1.43
4.61,1.48
4.61,1.54
4.60,1.59
4.59,1.65
4.56,1.70
4.54,1.74
4.50,1.79
4.46,1.83
4.42,1.86
4.37,1.89
4.31,1.91
4.26,1.92
4.20,1.93
4.14,1.93
4.08,1.92
4.03,1.90
3.97,1.88
3.92,1.86
3.87,1.83
3.82,1.81
3.77,1.78
3.72,1.76
3.67,1.73
3.62,1.71
3.57,1.68
3.52,1.65
3.47,1.63
3.42,1.60
3.37,1.57
3.32,1.54
3.27,1.52
3.22,1.49
3.17,1.46
3.11,1.44
3.06,1.42
3.01,1.41
2.95,1.40
2.89,1.41
2.84,1.42
2.78,1.45
2.74,1.48
2.69,1.51
2.65,1.56
2.62,1.61
2.60,1.66
2.58,1.71
2.56,1.78
2.54,1.83
2.52,1.89
2.50,1.94
2.48,1.99
2.46,2.05
2.45,2.10
2.43,2.15
2.41,2.21
2.39,2.26
2.38,2.32
2.36,2.37
2.34,2.42
2.33,2.48
2.33,2.53
2.33,2.58
2.35,2.64
2.37,2.69
2.40,2.73
2.44,2.77
2.48,2.81
2.53,2.83
2.58,2.86
2.63,2.87
2.69,2.90
2.74,2.91
2.80,2.93
2.85,2.96
2.89,2.99
2.94,3.01
2.99,3.04
3.04,3.07
3.09,3.10
3.14,3.12
3.18,3.15
3.23,3.18
3.28,3.21
3.33,3.24
3.37,3.27
3.41,3.32
3.44,3.36
3.47,3.41
3.49,3.46
3.50,3.52
3.50,3.57
3.50,3.63
3.49,3.69
3.48,3.74
3.46,3.79
3.43,3.84
3.39,3.89
3.35,3.93
3.30,3.96
3.25,3.99
3.20,4.02
3.15,4.04
3.10,4.06
3.05,4.08
2.99,4.10
2.94,4.12
2.88,4.14
2.83,4.15
2.78,4.16
2.72,4.16
2.66,4.15
2.61,4.14
2.55,4.13
2.50,4.11
2.44,4.10
2.39,4.08
2.34,4.05
2.29,4.03
2.25,4.00
2.20,3.97
2.15,3.94
2.11,3.92
2.06,3.89
2.01,3.86
1.96,3.83
1.92,3.80
1.87,3.77
1.82,3.74
1.78,3.71
1.73,3.67
1.69,3.64
1.64,3.61
1.59,3.58
1.55,3.55
1.50,3.52
1.46,3.49
1.40,3.44
1.37,3.40
1.33,3.35
1.30,3.31
1.28,3.26
1.25,3.22
1.22,3.17
1.18,3.13
1.15,3.09
1.10,3.05
1.06,3.03
1.00,3.01
0.95,3.00
0.84,2.99
0.79,2.98
0.73,2.96
0.68,2.94
0.64,2.91
0.59,2.87
0.55,2.84
0.51,2.80
0.47,2.77
0.43,2.73
0.38,2.69
0.34,2.66
0.30,2.62
0.27,2.58
0.24,2.53
0.22,2.48
0.21,2.42
0.20,2.37
0.20,2.31
0.21,2.26
0.22,2.20
0.24,2.15
0.27,2.10
0.30,2.05
0.33,2.01
0.37,1.96
0.40,1.91
0.43,1.87
0.47,1.82
0.50,1.77
0.54,1.73
0.59,1.70
0.64,1.67
0.70,1.64
